DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%,SILVER_PRICE,SILVER_OPEN,SILVER_HIGH,SILVER_LOW,SILVER_CHANGE_%,GPRD,GPRD_ACT,GPRD_THREAT,EVENT,HAS_EVENT,GOLD_SILVER_RATIO,GOLD_VOLATILITY_30,SILVER_VOLATILITY_30,GOLD_SMA_50,GOLD_SMA_200,GPRD_ROLLING_30,YEAR,MONTH,DECADE
1985-08-26,337.6,337.6,337.6,337.6,0.84,6.3,6.3,6.3,6.3,1.61,70.29,70.08,58.45,,0,53.587301587301596,0.1911323707185513,0.20282930664128695,321.692,,101.08466666666666,1985,8,1980
1985-08-27,336.0,336.0,336.0,336.0,-0.47,6.31,6.31,6.31,6.31,0.16,112.29,111.94,93.37,,0,53.24881141045959,0.18566090653887263,0.1964883041834966,322.048,,101.212,1985,8,1980
1985-08-28,340.9,340.9,340.9,340.9,1.46,6.35,6.35,6.35,6.35,0.63,77.76,77.52,77.59,,0,53.68503937007874,0.1870142154757624,0.19384574653761405,322.488,,100.79266666666668,1985,8,1980
1985-08-29,337.2,337.2,337.2,337.2,-1.09,6.29,6.29,6.29,6.29,-0.94,131.63,102.06,133.77,,0,53.608903020667725,0.1823171726114999,0.18718714129554173,322.758,,101.08133333333333,1985,8,1980
1985-08-30,333.2,333.2,333.2,333.2,-1.19,6.26,6.26,6.26,6.26,-0.48,65.11,32.46,81.21,,0,53.22683706070288,0.18602186756037983,0.18777207707334187,322.914,,99.77600000000001,1985,8,1980
1985-09-03,328.2,328.2,328.2,328.2,-1.5,6.15,6.15,6.15,6.15,-1.76,84.94,150.54,15.7,,0,53.36585365853658,0.19116479139575418,0.19355390605628833,323.116,,98.14933333333332,1985,9,1980
1985-09-04,326.0,326.0,326.0,326.0,-0.67,6.04,6.04,6.04,6.04,-1.79,66.42,99.32,27.61,,0,53.973509933774835,0.1866567236569,0.1991567360489219,323.368,,94.78999999999999,1985,9,1980
1985-09-05,326.0,326.0,326.0,326.0,0.0,6.04,6.04,6.04,6.04,0.0,59.82,74.55,37.31,,0,53.973509933774835,0.18094551086180663,0.19640613393043257,323.596,,91.94366666666666,1985,9,1980
1985-09-06,317.6,317.6,317.6,317.6,-2.58,6.09,6.09,6.09,6.09,0.83,89.34,54.81,102.87,,0,52.15106732348112,0.19678006519983265,0.1973748100437216,323.638,,92.21533333333333,1985,9,1980
1985-09-09,319.6,319.6,319.6,319.6,0.63,6.1,6.1,6.1,6.1,0.16,84.94,94.08,78.48,,0,52.39344262295083,0.1975207512950751,0.1969022089113004,323.69599999999997,,92.3,1985,9,1980
1985-09-10,321.6,321.6,321.6,321.6,0.63,6.03,6.03,6.03,6.03,-1.15,120.02,63.81,146.37,,0,53.333333333333336,0.17709410833494893,0.1605481808638917,323.828,,92.26866666666668,1985,9,1980
1985-09-11,321.0,321.0,321.0,321.0,-0.19,6.05,6.05,6.05,6.05,0.33,151.95,90.89,176.89,,0,53.057851239669425,0.176832762524374,0.15673717639539642,323.894,,93.19699999999999,1985,9,1980
1985-09-12,319.5,319.5,319.5,319.5,-0.47,6.03,6.03,6.03,6.03,-0.33,73.61,73.39,73.45,,0,52.98507462686567,0.17580896034669388,0.15682053174595015,324.006,,92.09933333333333,1985,9,1980
1985-09-13,321.3,321.3,321.3,321.3,0.56,6.05,6.05,6.05,6.05,0.33,103.3,82.39,114.53,,0,53.10743801652893,0.1702184719310953,0.15345638132710493,324.268,,90.85066666666667,1985,9,1980
1985-09-16,319.5,319.5,319.5,319.5,-0.56,6.05,6.05,6.05,6.05,0.0,95.33,79.19,92.48,,0,52.8099173553719,0.17038843677969773,0.1534456335124993,324.452,,91.525,1985,9,1980
1985-09-17,317.8,317.8,317.8,317.8,-0.53,5.96,5.96,5.96,5.96,-1.49,124.86,161.09,109.94,,0,53.322147651006716,0.16831894247017662,0.15887744402011003,324.624,,93.60366666666667,1985,9,1980
1985-09-18,316.5,316.5,316.5,316.5,-0.41,5.88,5.88,5.88,5.88,-1.34,126.49,126.1,118.33,,0,53.8265306122449,0.16552034804388907,0.16096872890215702,324.658,,93.932,1985,9,1980
1985-09-19,316.5,316.5,316.5,316.5,0.0,5.99,5.99,5.99,5.99,1.87,126.59,140.23,105.27,,0,52.83806343906511,0.16514276295077637,0.17024104737426066,324.692,,94.972,1985,9,1980
1985-09-20,319.1,319.1,319.1,319.1,0.82,6.0,6.0,6.0,6.0,0.17,104.39,13.88,162.03,,0,53.18333333333334,0.16632446281217533,0.1702460789862928,324.80400000000003,,97.05033333333334,1985,9,1980
1985-09-23,327.7,327.7,327.7,327.7,2.7,6.13,6.13,6.13,6.13,2.17,115.36,131.44,95.93,,0,53.458401305057095,0.18378462676535792,0.1816759046147206,325.106,,97.70266666666666,1985,9,1980
1985-09-24,327.9,327.9,327.9,327.9,0.06,6.16,6.16,6.16,6.16,0.49,110.66,117.68,110.43,,0,53.230519480519476,0.17758850974723367,0.16488636803228945,325.348,,97.37033333333333,1985,9,1980
1985-09-25,328.5,328.5,328.5,328.5,0.18,6.17,6.17,6.17,6.17,0.16,120.84,85.04,130.04,,0,53.24149108589951,0.17763701278457308,0.16481793290796806,325.48400000000004,,98.84366666666666,1985,9,1980
1985-09-26,329.2,329.2,329.2,329.2,0.21,6.1,6.1,6.1,6.1,-1.13,174.71,167.21,174.34,,0,53.9672131147541,0.1775699427729272,0.16767796162999024,325.556,,101.29766666666666,1985,9,1980
1985-09-27,329.2,329.2,329.2,329.2,0.0,6.1,6.1,6.1,6.1,0.0,144.02,114.87,155.69,,0,53.9672131147541,0.1710755527659204,0.1662975762139285,325.74,,104.32133333333333,1985,9,1980
1985-09-30,326.0,326.0,326.0,326.0,-0.97,6.04,6.04,6.04,6.04,-0.98,104.06,86.45,115.37,,0,53.973509933774835,0.16918808585039713,0.16288502722573936,325.882,,105.81366666666666,1985,9,1980
1985-10-01,322.5,322.5,322.5,322.5,-1.07,6.03,6.03,6.03,6.03,-0.17,154.24,87.87,183.23,,0,53.482587064676615,0.16238418001608004,0.16188874487804764,325.988,,107.47466666666668,1985,10,1980
1985-10-02,325.2,325.2,325.2,325.2,0.84,6.06,6.06,6.06,6.06,0.5,184.03,176.13,171.39,,0,53.663366336633665,0.15582759656079787,0.1604375695302174,326.042,,110.82766666666666,1985,10,1980
1985-10-03,325.1,325.1,325.1,325.1,-0.03,6.33,6.33,6.33,6.33,4.46,100.99,107.39,78.38,,0,51.358609794628755,0.15500971813512215,0.20781341173042187,326.19,,108.60333333333332,1985,10,1980
1985-10-04,328.0,328.0,328.0,328.0,0.89,6.32,6.32,6.32,6.32,-0.16,159.82,159.32,169.14,,0,51.89873417721519,0.15767295847769588,0.20788321167753693,326.402,,110.32733333333333,1985,10,1980
1985-10-07,326.0,326.0,326.0,326.0,-0.61,6.29,6.29,6.29,6.29,-0.47,88.44,96.19,80.23,,0,51.828298887122415,0.1584050660668051,0.20387673451792826,326.584,,110.875,1985,10,1980
